id,vague_r,hedge_r,neg_r,passive_r,fog_idx,avg_len,len_var,num_den,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,sent_pos,sent_neg,sent_neu,time_r,excl_r,quest_r,drift_sc,label_int
FS-1165,0.0,0.0,0.0,0.0,78.23114754,15.25,21.1875,0.09836066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01639344,0.0,0.0,0.0,2
FS-1380,0.0,0.0,0.0,0.0,68.45714286,14.0,2.0,0.17857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.03571429,0.0,0.0,0.0,2
FS-2281,0.0,0.0,0.0,0.0,73.51515152,18.33333333,69.55555556,0.07272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01818182,0.0,0.0,0.0,0
FS-1550,0.0,0.0,0.0,0.0,71.77462687,16.75,15.6875,0.11940299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01492537,0.0,0.0,0.0,0
FS-3117,0.0,0.0,0.0,0.0,71.88873239,17.75,33.6875,0.08450704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01408451,0.0,0.0,0.0,0
FS-1335,0.0,0.0,0.0,0.0,71.83030303,22.0,98.0,0.04545455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
FS-3037,0.0,0.0,0.0,0.0,84.13278689,15.25,3.1875,0.06557377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01639344,0.0,0.0,0.0,2
FS-1176,0.0,0.0,0.0,0.0,64.78333333,21.33333333,1.55555556,0.109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.015625,0.0,0.0,0.0,0
FS-1910,0.0,0.0,0.0,0.0,75.74358974,21.66666667,14.88888889,0.09230769,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01538462,0.0,0.0,0.0,0
FS-2850,0.0,0.0,0.0,0.0,78.5750495,20.2,38.16,0.07920792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.00990099,0.0,0.0,0.0,0
